Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-30,3692,3792,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",379.0,250.0,576.0,488.0,283.0,840.0,324.0,248.0,424.0,422.0,259.0,687.0,377.0,253.0,562.0,312.0,232.0,418.0
2019-03-30,3760,3394,"Powell BART Station, Market St and Powell St, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",887.0,677.0,1162.0,682.0,548.0,849.0,935.0,709.0,1234.0,898.0,696.0,1160.0,880.0,654.0,1186.0,,,
2019-03-30,3760,3396,"Powell BART Station, Market St and Powell St, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",969.0,788.0,1191.0,,,,,,,,,,,,,,,
2019-03-30,3760,3792,"Powell BART Station, Market St and Powell St, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",681.0,514.0,903.0,,,,,,,790.0,675.0,926.0,,,,,,
2019-03-30,3792,3603,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Embarcadero, San Francisco, CA",445.0,336.0,591.0,384.0,298.0,495.0,434.0,349.0,538.0,517.0,404.0,660.0,378.0,293.0,488.0,,,
2019-03-30,3792,3692,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",462.0,298.0,717.0,578.0,307.0,1089.0,506.0,348.0,737.0,515.0,349.0,760.0,370.0,254.0,539.0,400.0,228.0,702.0
2019-03-30,3792,3760,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",660.0,452.0,963.0,,,,699.0,491.0,996.0,824.0,589.0,1152.0,,,,,,
2019-03-31,3394,3603,"Fisherman's Wharf, San Francisco, CA","Embarcadero, San Francisco, CA",726.0,519.0,1016.0,,,,903.0,713.0,1145.0,713.0,504.0,1009.0,553.0,449.0,680.0,,,
2019-03-31,3394,3692,"Fisherman's Wharf, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",971.0,734.0,1284.0,,,,1146.0,870.0,1508.0,923.0,743.0,1147.0,860.0,692.0,1069.0,832.0,588.0,1175.0
2019-03-31,3394,3760,"Fisherman's Wharf, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",972.0,755.0,1251.0,,,,1085.0,875.0,1344.0,970.0,762.0,1235.0,906.0,762.0,1076.0,,,
